,Prop. Strategy #2,Prop. Strategy #8,Prop. of Cooperators,Prop. of Defectors,Average Util. Strategy #2,Average Util. Strategy #8,# of Mutants Added,size
1613,0.0,1.0,0.0,1.0,0.0,0.0,130.0,300.0
1999,0.9866666666666667,0.013333333333333334,0.9545454545454546,0.045454545454545456,0.9767441860465116,0.0,192.0,300.0
1421,0.0,1.0,0.0,1.0,0.0,0.0,142.0,300.0
673,0.0,1.0,0.0,1.0,0.0,0.0,79.0,300.0
674,0.0,1.0,0.0,1.0,0.0,0.0,54.0,300.0
631,0.0,1.0,0.0,1.0,0.0,0.0,57.0,350.0
1298,0.002857142857142857,0.9971428571428571,0.0,1.0,0.0,0.0,141.0,350.0
620,0.0,1.0,0.0,1.0,0.0,0.0,55.0,350.0
683,0.0,1.0,0.0,1.0,0.0,0.0,71.0,350.0
795,0.0,1.0,0.0,1.0,0.0,0.0,81.0,350.0
1550,0.0,1.0,0.0,1.0,0.0,0.0,143.0,350.0
869,0.0,1.0,0.0,1.0,0.0,0.0,77.0,350.0
912,0.0,1.0,0.0,1.0,0.0,0.0,95.0,350.0
1318,0.002857142857142857,0.9971428571428571,0.015151515151515152,0.9848484848484849,-1.0,0.03076923076923077,149.0,350.0
764,0.0,1.0,0.0,1.0,0.0,0.0,82.0,350.0
839,0.0,1.0,0.0,1.0,0.0,0.0,87.0,400.0
670,0.0,1.0,0.0,1.0,0.0,0.0,68.0,400.0
1104,0.0,1.0,0.0,1.0,0.0,0.0,103.0,400.0
586,0.0,1.0,0.0,1.0,0.0,0.0,54.0,400.0
848,0.0,1.0,0.0,1.0,0.0,0.0,80.0,400.0
662,0.0,1.0,0.0,1.0,0.0,0.0,68.0,400.0
1139,0.0,1.0,0.0,1.0,0.0,0.0,101.0,400.0
681,0.0,1.0,0.0,1.0,0.0,0.0,59.0,400.0
1293,0.0,1.0,0.0,1.0,0.0,0.0,145.0,400.0
942,0.0,1.0,0.0,1.0,0.0,0.0,88.0,400.0
